Primary Source,Type,Grounds (claim / SPOV),Reachable via,Compiled into (artifacts),Knowledge Tree Category
"Texas Education Agency (TEA), TEKS English Language Arts and Reading Standards",Authority,G9-G12 writing standards (STAAR English I/II alignment); TEKS-specific compositional progression,https://tea.texas.gov/about-tea/laws-and-rules/texas-administrative-code/19-tac-chapter-110,"01_ccss_adherence_map.md, 02_deviation_states_deepdive.md",Category 1: Standards Backbone
"California Department of Education, Common Core State Standards for English Language Arts",Authority,"CCSS-family hub standards (W.9-10.1-3, W.11-12.1-3); argument, explanatory, narrative modes",https://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf,"01_ccss_adherence_map.md, 05_AlphaCommonCore_Writing_Spine.md",Category 1: Standards Backbone
"New York State Education Department (NYSED), Next Generation English Language Arts Learning Standards",Authority,"NY-CCSS aligned standards (9-10W1-3, 11-12W1-3); source-based analytical writing emphasis",https://www.nysed.gov/curriculum-instruction/new-york-state-next-generation-english-language-arts-learning-standards,"01_ccss_adherence_map.md, 03_state_assessment_format_map.md",Category 1: Standards Backbone
"Florida Department of Education, B.E.S.T. Standards for ELA",Authority,"FL B.E.S.T. deviation from CCSS (argumentation-first G7-10, expository separate strand)",https://cpalmsmediaprod.blob.core.windows.net/uploads/docs/standards/best/la/elabeststandardsfinal2108.pdf,"01_ccss_adherence_map.md, 02_deviation_states_deepdive.md",Category 1: Standards Backbone
"Arkansas Department of Education, ELA Standards (2023)",Authority,Arkansas CCSS-aligned standards (evidence-based argument G9-12),https://dese.ade.arkansas.gov/Files/AR_2023_9-12_ELA_Standards_and_Notes_1.25_LS.pdf,"01_ccss_adherence_map.md, 06a_deviation_AL_AR.md",Category 1: Standards Backbone
"Virginia Department of Education, Standards of Learning (SOL) for English",Authority,Virginia deviation standards (two-tier claim hierarchy in persuasive writing),https://www.doe.virginia.gov/teaching-learning-assessment/k-12-standards-instruction/english-reading-literacy/standards-of-learning/2024-english-standards-of-learning,"01_ccss_adherence_map.md, 02_deviation_states_deepdive.md",Category 1: Standards Backbone
"Texas Education Agency (TEA), STAAR English I/II Blueprint Schematic",Authority,G9/G10 ECR+SCR format; Organization & Development (0-3) + Conventions (0-2) rubric; gating logic,https://tea.texas.gov/data-reports/staar/staar-english-ii-blueprint-schematic.pdf,"03_state_assessment_format_map.md, 04_item_formats_and_rubrics.md",Category 2: Exam Ground Truth
"Texas Education Agency (TEA), STAAR Argumentative/Informational Rubrics",Authority,"STAAR trait structure (Org & Dev 0-3, Conv 0-2); dual-rater scoring, 10-point maximum",https://tea.texas.gov/data-reports/staar/tx-staar-arg-opinion-rubric-g6-e2.pdf,04_item_formats_and_rubrics.md,Category 2: Exam Ground Truth
"College Board, AP English Language and Composition FRQ Scoring Rubrics",Authority,"AP Lang 6-point analytic rubric (Thesis 0-1, Evidence & Commentary 0-4, Sophistication 0-1); applies to Synthesis, Rhetorical Analysis, Argument essays",https://apcentral.collegeboard.org/media/pdf/ap-english-language-and-composition-frqs-1-2-3-scoring-rubrics.pdf,"04_item_formats_and_rubrics.md, G11_anchor_AP_Lang.md",Category 2: Exam Ground Truth
"College Board, AP English Literature and Composition FRQ Scoring Rubrics",Authority,"AP Lit 6-point analytic rubric (parallel structure to AP Lang); applies to Poetry, Prose, Literary Argument essays",https://apcentral.collegeboard.org/media/pdf/ap-english-literature-and-composition-frqs-1-2-3-scoring-rubrics.pdf,"04_item_formats_and_rubrics.md, TestDesign_Reference.md",Category 2: Exam Ground Truth
